cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
A01329;Q3767441;Giovanni Alberto;Giovanni Gualberto De Soria;1871;1707;m;m;Italia;;Salussola;Pisa;muratore;filosofo|professore;Stefano;;sovversivo;filosofo italiano;20;Giovanni Alberto De Soria;-1;-1;1;0;-1;0;-1;0;0.5
A01329;Q41568834;Giovanni Alberto;Giovanni Alberto Colombo;1871;1708;m;m;Italia;Repubblica di Venezia;Salussola;Venezia;muratore;astronomo|filosofo|fisico;Stefano;;sovversivo;fisico, astronomo e filosofo italiano;20;;-1;1;1;-1;-1;0;-1;0;0.25
A01329;Q534948;Giovanni Alberto;Giovanni Alberto Vasa;1871;1612;m;m;Italia;Confederazione polacco-lituana;Salussola;Cracovia|Varsavia;muratore;sacerdote cattolico|vescovo|vescovo cattolico;Stefano;Sigismund|Zygmunt;sovversivo;cardinale e vescovo cattolico polacco (1612-1634);20;Giovanni Alberto Vasa;-1;1;1;-1;-1;-1;-1;0;0.375
A01329;Q55915641;Giovanni Alberto;Giovanni Alberto de' Grandi;1871;1689;m;m;Italia;;Salussola;;muratore;sacerdote cattolico|vescovo cattolico;Stefano;;sovversivo;vescovo cattolico;20;;-1;1;1;0;0;0;-1;0;0.0
A01329;Q571404;Giovanni Alberto;Giovanni Alberto II di Meclemburgo-Güstrow;1871;1590;m;m;Italia;Germania;Salussola;Waren;muratore;feudatario|regnante;Stefano;Johann;sovversivo;Co-ruler of Mecklenburg, later ruler of Mecklenburg-Güstrow;20;Giovanni Alberto II di Meclemburgo-Güstrow;-1;1;1;-1;-1;-1;-1;0;0.33333333333333337
A01329;Q61464;Giovanni Alberto;Giovanni Alberto di Meclemburgo-Schwerin;1871;1857;m;m;Italia;Germania;Salussola;Schwerin;muratore;Principe reggente|esploratore|reggente;Stefano;Friedrich|Franz;sovversivo;reggente del granducato di Meclemburgo-Schwerin e del ducato di Brunswick;20;Giovanni Alberto di Meclemburgo-Schwerin;-1;1;1;-1;-1;-1;-1;0;0.2222222222222222
A01329;Q668049;Giovanni Alberto;Giovanni Alberto I di Meclemburgo-Schwerin;1871;1526;m;m;Italia;Germania;Salussola;Güstrow;muratore;aristocratico;Stefano;Albert;sovversivo;aristocratico tedesco;20;Giovanni Alberto I di Meclemburgo-Schwerin;-1;1;1;-1;-1;-1;-1;0;0.36363636363636365
A01329;Q71301464;Giovanni Alberto;Giovanni Alberto Cecconi;1871;1960;m;m;Italia;Italia;Salussola;Firenze;muratore;professore universitario|scacchista|storico;Stefano;;sovversivo;storico italiano (1960-);20;;-1;1;1;1;-1;0;-1;0;0.0
A01329;Q93435904;Giovanni Alberto;Giovanni Alberto Tumermani;1871;1726;m;m;Italia;;Salussola;;muratore;;Stefano;;sovversivo;;20;;-1;1;1;0;0;0;0;0;0.0
A01329;Q98681546;Giovanni Alberto;Giovanni Alberto Albicante;1871;0;m;m;Italia;;Salussola;;muratore;poeta|scrittore;Stefano;;sovversivo;poeta;20;;-1;1;1;0;0;0;-1;0;0.0
